nodeId,label,name,category,difficulty,cuisineType,prepTime,cookTime,servings,tips,filePath,description,stepNumber,methods,tools,timeEstimate
d832a041e14944ef,Recipe,手抓饼,早餐,简单,家常菜,,,1-2人份,使用开水与冷水混合和面，有助于提升饼皮柔韧度。 | 面团醒发时间不宜少于20分钟，否则不易擀薄。 | 可根据个人口味增减配料，建议配料总重控制在100克以内。 | 剩余生饼皮可冷藏保存24小时，使用时回温擀平即可。,Dish/breakfast/手抓饼.md,,,,,
f630e61f49f7d9b7,Ingredient,普通面粉,,,,,,,,,,,,,
ed5e59e62e79f897,Ingredient,开水,,,,,,,,,,,,,
b583c338842ea3b6,Ingredient,冷水,,,,,,,,,,,,,
591bba36f3a09e1c,Ingredient,食用油,,,,,,,,,,,,,
012f941f126fbf2c,Ingredient,盐,,,,,,,,,,,,,
8d8c7cfe7130f3a0,Ingredient,鸡蛋,,,,,,,,,,,,,
995c841a0a421851,Ingredient,生菜,,,,,,,,,,,,,
2147e1d8b2d98497,Ingredient,火腿,,,,,,,,,,,,,
d09118e47e3543f4,Ingredient,芝士片,,,,,,,,,,,,,
e16e55c6943fe653,CookingStep,手抓饼-步骤1,,,,,,,,,面粉放入碗中，加入开水搅拌成絮状，再加入冷水揉成光滑面团，覆盖湿布静置20分钟。,1,,碗,20分钟
288fd8a9e3fb34e8,CookingStep,手抓饼-步骤2,,,,,,,,,面团分成每份约100克，搓圆，擀成薄片。,2,,,
b55bfc8c29003072,CookingStep,手抓饼-步骤3,,,,,,,,,表面均匀涂抹食用油，撒上盐，卷成蜗牛状，松弛10分钟。,3,,,10分钟
176958aafd7c0276,CookingStep,手抓饼-步骤4,,,,,,,,,面团再次擀成薄饼，厚度均匀。,4,,,
fcc65fcb01fdfa4b,CookingStep,手抓饼-步骤5,,,,,,,,,热锅中倒入油，小火煎至两面金黄起泡。,5,煎,锅,
8ac6cf1088871015,CookingStep,手抓饼-步骤6,,,,,,,,,煎好的饼依次铺入煎蛋、生菜、火腿、芝士片等配料，卷起即可。,6,煎,,
2b81886bfba999c6,RecipeCategory,早餐,,,,,,,,,,,,,
90fbf75112044729,DifficultyLevel,简单,,,,,,,,,,,,,
2612c911d1e5dab2,Recipe,桂圆红枣粥,早餐,简单,家常菜,,70分钟,,对粥的稀稠程度有不同喜好的朋友可以酌情增加或减少水的用量 | 煮出来的粥是甜的，可以通过控制加入桂圆的数量控制甜度,Dish/breakfast/桂圆红枣粥.md,,,,,
b711cd534ec02f53,Ingredient,糯米,,,,,,,,,,,,,
9452186e93dd7108,Ingredient,红枣,,,,,,,,,,,,,
0dfb4b3d8dca29ea,Ingredient,桂圆,,,,,,,,,,,,,
c0dfd5b6c37ab3a1,CookingStep,桂圆红枣粥-步骤1,,,,,,,,,将桂圆肉扒出，用清水洗两次，放入碗中浸泡10分钟,1,清洗，浸泡,碗,10分钟
