relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
139df81aaf9a7253,d832a041e14944ef,f630e61f49f7d9b7,REQUIRES,200,克,
3fc6a09a73e85c17,d832a041e14944ef,ed5e59e62e79f897,REQUIRES,100,毫升,
d58e2dd70df8f6cf,d832a041e14944ef,b583c338842ea3b6,REQUIRES,50,毫升,
e78f4a1957450b5b,d832a041e14944ef,591bba36f3a09e1c,REQUIRES,15,毫升,
1ea93bafb218bea6,d832a041e14944ef,012f941f126fbf2c,REQUIRES,3,克,
acbf776d48eee89c,d832a041e14944ef,8d8c7cfe7130f3a0,REQUIRES,1,个,
94df75963405e886,d832a041e14944ef,995c841a0a421851,REQUIRES,30,克,
7dc9748254d7dc2c,d832a041e14944ef,2147e1d8b2d98497,REQUIRES,30,克,
1910c7a01a3d5b2d,d832a041e14944ef,d09118e47e3543f4,REQUIRES,1,片,
cf34e802513442ff,d832a041e14944ef,e16e55c6943fe653,CONTAINS_STEP,,,1.0
df4511a61edfadc9,d832a041e14944ef,288fd8a9e3fb34e8,CONTAINS_STEP,,,2.0
49932264180ab0a1,d832a041e14944ef,b55bfc8c29003072,CONTAINS_STEP,,,3.0
04fa400252b0408a,d832a041e14944ef,176958aafd7c0276,CONTAINS_STEP,,,4.0
b4a2d2c28ac62897,d832a041e14944ef,fcc65fcb01fdfa4b,CONTAINS_STEP,,,5.0
e75fb75136181c92,d832a041e14944ef,8ac6cf1088871015,CONTAINS_STEP,,,6.0
3b384480290bc344,d832a041e14944ef,2b81886bfba999c6,BELONGS_TO_CATEGORY,,,
acaf99a38ab0a7c8,d832a041e14944ef,90fbf75112044729,HAS_DIFFICULTY_LEVEL,,,
8d186f14a0b7dc73,2612c911d1e5dab2,b711cd534ec02f53,REQUIRES,100,克,
fe1b720d2536b560,2612c911d1e5dab2,9452186e93dd7108,REQUIRES,15,颗,
0a2f458a64261b1b,2612c911d1e5dab2,0dfb4b3d8dca29ea,REQUIRES,15,颗,
5c4d2381a4f36fa8,2612c911d1e5dab2,c0dfd5b6c37ab3a1,CONTAINS_STEP,,,1.0
4873bbe697356a8e,2612c911d1e5dab2,d3918f0ed2c70b81,CONTAINS_STEP,,,2.0
9dbeb46e2d7afaba,2612c911d1e5dab2,25a712510825033a,CONTAINS_STEP,,,3.0
6ded648afeade006,2612c911d1e5dab2,15ef3cb76b796d74,CONTAINS_STEP,,,4.0
28f1cd1b96104d96,2612c911d1e5dab2,c8b58157551fcfaf,CONTAINS_STEP,,,5.0
dff5fac9403e3e99,2612c911d1e5dab2,2b81886bfba999c6,BELONGS_TO_CATEGORY,,,
f6c56d2a1323a0bc,2612c911d1e5dab2,90fbf75112044729,HAS_DIFFICULTY_LEVEL,,,
42674db0a00fea36,8265fcbfc7a93654,be61f8f91eefd266,REQUIRES,,,
c674e863aca21761,8265fcbfc7a93654,012f941f126fbf2c,REQUIRES,2,克,
